Identifier from Copilot,Title from Copilot,"Implementation Applicable (Y or N/A)",Identifier from ISM,Description from ISM
ISM-0383,Change/disable/remove default OS accounts/credentials,Not Assessed,ISM-0383,"Default user accounts or credentials for operating systems, including for any pre-configured user accounts, are changed, disabled or removed during initial setup."
ISM-0380,Disable/remove unneeded OS accounts/services,Not Assessed,ISM-0380,"Unneeded user accounts, components, services and functionality of operating systems are disabled or removed."
ISM-0341,Disable autorun for removable media,Not Assessed,ISM-0341,Automatic execution features for removable media are disabled.
ISM-1654,Disable/remove Internet Explorer 11,Not Assessed,ISM-1654,Internet Explorer 11 is disabled or removed.
ISM-1655,Disable/remove .NET Framework 3.5,Not Assessed,ISM-1655,.NET Framework 3.5 (includes .NET 2.0 and 3.0) is disabled or removed.
ISM-1492,Enable OS exploit protection features,Not Assessed,ISM-1492,Operating system exploit protection functionality is enabled.
ISM-1745,"Enable Early Launch Antimalware, Secure Boot, Trusted Boot, Measured Boot",Not Assessed,ISM-1745,"Early Launch Antimalware, Secure Boot, Trusted Boot and Measured Boot functionality is enabled."
ISM-1584,Prevent unprivileged bypass/disable of OS security,Not Assessed,ISM-1584,"Unprivileged users are prevented from bypassing, disabling or modifying security functionality of operating systems."
ISM-1491,Prevent unprivileged users running script engines,Not Assessed,ISM-1491,"Unprivileged users are prevented from running script execution engines, including:
• Windows Script Host (cscript.exe and wscript.exe)
• PowerShell (powershell.exe, powershell_ise.exe and pwsh.exe)
• Command Prompt (cmd.exe)
• Windows Management Instrumentation (wmic.exe)
• Microsoft Hypertext Markup Language (HTML) Application Host (mshta.exe)."
ISM-1592,Prevent unprivileged users installing unapproved apps,Not Assessed,ISM-1592,Unprivileged users do not have the ability to install unapproved applications.
ISM-0382,Prevent unprivileged users uninstalling approved apps,Not Assessed,ISM-0382,Unprivileged users do not have the ability to uninstall or disable approved applications.
ISM-0843,Implement application control on workstations,Not Assessed,ISM-0843,Application control is implemented on workstations.
ISM-1490,Implement application control on internet-facing servers,Not Assessed,ISM-1490,Application control is implemented on internet-facing servers.
ISM-1656,Implement application control on non-internet-facing servers,Not Assessed,ISM-1656,Application control is implemented on non-internet-facing servers.
ISM-1870,Apply app control to profiles & temp folders for OS/browsers/email,Not Assessed,ISM-1870,"Application control is applied to user profiles and temporary folders used by operating systems, web browsers and email clients."
ISM-1871,Apply app control to all locations except user profiles/temp folders,Not Assessed,ISM-1871,"Application control is applied to all locations other than user profiles and temporary folders used by operating systems, web browsers and email clients."
ISM-1657,App control restricts execs/libraries/scripts to approved set,Not Assessed,ISM-1657,"Application control restricts the execution of executables, libraries, scripts, installers, compiled HTML, HTML applications and control panel applets to an organisation-approved set."
ISM-1658,App control restricts drivers to approved set,Not Assessed,ISM-1658,Application control restricts the execution of drivers to an organisation-approved set.
ISM-0955,Implement app control using hash/publisher/path rules,Not Assessed,ISM-0955,"Application control is implemented using cryptographic hash rules, publisher certificate rules or path rules."
ISM-1471,Use publisher/product names when using publisher certificate rules,Not Assessed,ISM-1471,"When implementing application control using publisher certificate rules, publisher names and product names are used."
ISM-1392,Restrict path-rule modifications to approved users,Not Assessed,ISM-1392,"When implementing application control using path rules, only approved users can modify approved files and write to approved folders."
ISM-1746,Require approved users to change file permissions when using path rules,Not Assessed,ISM-1746,"When implementing application control using path rules, only approved users can change file system permissions for approved files and folders."
ISM-1544,Implement Microsoft's recommended application blocklist,Not Assessed,ISM-1544,Microsoft’s recommended application blocklist is implemented.
ISM-1659,Implement Microsoft's vulnerable driver blocklist,Not Assessed,ISM-1659,Microsoft’s vulnerable driver blocklist is implemented.
ISM-1582,Validate app control rulesets annually or more often,Not Assessed,ISM-1582,Application control rulesets are validated on an annual or more frequent basis.
ISM-0846,Users (except local admin/break glass) cannot disable app control,Not Assessed,ISM-0846,"All users (with the exception of local administrator accounts and break glass accounts) cannot disable, bypass or be exempted from application control."
ISM-1660,Log allowed/blocked app control events centrally,Not Assessed,ISM-1660,Allowed and blocked application control events are centrally logged.
ISM-1889,Log command-line process creation centrally,Not Assessed,ISM-1889,Command line process creation events are centrally logged.
ISM-1621,Disable or remove PowerShell 2.0,Not Assessed,ISM-1621,Windows PowerShell 2.0 is disabled or removed.
ISM-1622,Configure PowerShell Constrained Language Mode,Not Assessed,ISM-1622,PowerShell is configured to use Constrained Language Mode.
ISM-1623,Log PowerShell module/script/transcription events centrally,Not Assessed,ISM-1623,"PowerShell module logging, script block logging and transcription events are centrally logged."
ISM-1624,Protect script block logs with Protected Event Logging,Not Assessed,ISM-1624,PowerShell script block logs are protected by Protected Event Logging functionality.
ISM-1341,Implement HIPS/EDR on workstations,Not Assessed,ISM-1341,A HIPS or EDR solution is implemented on workstations.
ISM-1034,Implement HIPS/EDR on critical & high-value servers,Not Assessed,ISM-1034,A HIPS or EDR solution is implemented on critical servers and high-value servers.
ISM-1416,Implement software firewall on workstations/servers,Not Assessed,ISM-1416,A software firewall is implemented on workstations and servers to restrict inbound and outbound network connections to an organisation-approved set of applications and services.
ISM-1417,Implement antivirus with comprehensive protections & daily updates,Not Assessed,ISM-1417,"An antivirus application is implemented on workstations and servers with:
• signature-based detection functionality enabled and set to a high level
• heuristic-based detection functionality enabled and set to a high level
• reputation rating functionality enabled
• ransomware protection functionality enabled
• detection signatures configured to update on at least a daily basis
• regular scanning configured for all fixed disks and removable media."
